R-Strength,H-Strength,VP,Cities,Dev,Round,Winner
8,18,5,0,7,3,0
30,42,9,0,2,3,1
5,8,2,0,0,3,0
4,18,2,0,0,3,0
8,8,5,0,7,3,0
30,6,9,0,2,3,1
5,12,2,0,0,3,0
4,10,2,0,0,3,0
8,15,5,0,7,3,0
30,4,10,0,3,3,1
7,4,2,0,0,3,0
5,0,2,0,0,1,0
6,15,2,0,0,1,0
10,10,2,0,0,1,1
7,4,2,0,0,1,0
5,2,2,0,0,1,0
6,15,2,0,0,1,0
10,3,2,0,0,1,1
7,6,2,0,0,1,0
5,0,4,0,0,1,0
6,15,2,0,0,1,0
10,3,2,0,0,1,1
7,6,2,0,0,1,0
5,1,4,0,0,1,0
6,8,2,0,0,1,0
10,10,2,0,0,1,1
7,8,2,0,0,1,0
5,1,4,0,0,1,0
6,8,2,0,0,1,0
10,12,2,0,0,1,1
7,8,2,0,0,1,0
5,1,4,0,0,1,0
6,4,2,0,0,1,0
10,18,2,0,0,1,1
7,1,2,0,0,1,0
5,1,4,0,0,1,0
6,4,2,0,0,1,0
10,9,2,0,0,1,1
7,1,2,0,0,1,0
5,1,4,0,0,1,0
6,4,2,0,0,1,0
10,1,2,0,0,1,1
7,2,2,0,0,1,0
5,1,4,0,0,1,0
6,9,2,0,0,1,0
10,4,2,0,0,1,1
7,3,2,0,0,1,0
5,0,4,0,0,1,0
6,9,2,0,0,1,0
10,1,3,0,1,1,1
7,2,2,0,0,1,0
5,0,4,0,0,1,0
6,12,2,0,0,1,0
10,1,3,0,1,1,1
7,8,2,0,0,1,0
5,0,4,0,0,1,0
6,15,2,0,0,1,0
10,1,3,0,1,1,1
7,3,2,0,0,1,0
5,1,4,0,0,1,0
6,18,2,0,0,1,0
10,8,3,0,1,1,1
7,4,2,0,0,1,0
5,2,4,0,0,1,0
6,21,2,0,0,1,0
10,4,3,0,1,1,1
7,8,2,0,0,1,0
5,2,4,0,0,1,0
6,18,2,0,0,1,0
10,12,3,0,1,1,1
7,8,2,0,0,1,0
5,2,4,0,0,1,0
6,8,2,0,0,1,0
10,21,3,0,1,1,1
7,8,2,0,0,1,0
5,6,4,0,0,1,0
6,9,2,0,0,1,0
10,15,3,0,1,1,1
7,15,2,0,0,1,0
5,6,4,0,0,1,0
6,12,2,0,0,1,0
10,15,3,0,1,1,1
7,18,2,0,0,1,0
5,6,4,0,0,1,0
6,15,2,0,0,1,0
20,6,4,0,1,1,1
7,18,2,0,0,1,0
5,6,4,0,0,1,0
6,15,2,0,0,1,0
20,3,4,0,1,1,1
7,21,2,0,0,1,0
5,6,4,0,0,1,0
6,21,2,0,0,1,0
20,10,4,0,1,1,1
7,10,2,0,0,1,0
5,4,4,0,0,1,0
6,21,2,0,0,1,0
20,8,4,0,1,1,1
7,18,2,0,0,1,0
5,8,4,0,0,1,0
6,10,2,0,0,1,0
20,4,4,0,1,1,1
7,21,2,0,0,1,0
5,9,4,0,0,1,0
6,8,2,0,0,1,0
20,9,4,0,1,1,1
7,24,2,0,0,1,0
5,20,4,0,0,1,0
6,10,2,0,0,1,0
20,10,4,0,1,1,1
7,24,2,0,0,1,0
5,28,4,0,0,2,0
6,15,2,0,0,2,0
20,16,4,0,1,2,1
7,15,2,0,0,2,0
5,32,4,0,0,2,0
6,6,2,0,0,2,0
27,6,5,0,1,2,1
7,18,2,0,0,2,0
5,28,4,0,0,2,0
6,6,2,0,0,2,0
27,12,5,0,1,2,1
7,24,2,0,0,2,0
5,28,4,0,0,2,0
6,12,2,0,0,2,0
27,12,5,0,1,2,1
7,8,2,0,0,2,0
5,32,4,0,0,2,0
6,21,2,0,1,2,0
27,3,5,0,1,2,1
7,21,2,0,0,2,0
5,12,4,0,0,2,0
6,6,2,0,1,2,0
27,9,5,0,1,2,1
7,15,2,0,0,2,0
5,12,4,0,0,2,0
6,4,2,0,1,2,0
27,40,5,0,1,2,1
